,vid,k,pagerank,between,between_weight,degree,closeness,closeness_weight,eigen,eigen_weight,katz,incidence,urban,centroidlong,centroidlat,geometry,spacetype,Finbd,disttype
0,1,5,0.02072234459772191,0.0005005005005005005,0.0015015015015015015,7,0.5522388059701493,0.08102696833200741,0.09639097342783903,0.09773373663491,0.16212372328557215,0.4064800688394715,0.7896116384287276,22.017940915597745,-6.904493988589325,,,0.01930562611096776,PrdMIG
1,2,5,0.023236343612650534,0.003878878878878878,0.0,8,0.5606060606060607,0.08066126042015212,0.10579321054022459,0.09353985377080813,0.16191931438323567,0.3902261793452848,0.870102984570726,25.2041446216011,-5.96540793471676,,,0.023150192712622468,PrdMIG
2,3,5,0.07987001210281552,0.17772772772772777,0.11261261261261261,31,0.8604651162790697,0.09985500169441139,0.34272921389513594,0.24451397395371877,0.16604221927885313,0.2477306811832396,0.12888666099078808,23.748450077811047,-5.563655527822548,,,0.0235389631340271,PrdMIG
3,4,5,0.023226768682662248,0.003878878878878878,0.0,8,0.5606060606060607,0.07426614148824602,0.10592017247220273,0.07416457415180311,0.1615110632395763,0.2567692337248229,-0.9569413847374928,23.599898786789428,-3.2294739206983185,,,0.01942564620319053,PrdMIG
4,5,5,0.020722344597721917,0.0005005005005005005,0.0,7,0.5522388059701493,0.0900310555568858,0.09639097342783903,0.15337641352759337,0.16278333825561767,0.4614367221826721,1.453873907392731,23.480033579570083,-6.946410776198086,,,0.024019784759845533,PrdMIG
5,6,5,0.025040576583086893,0.0046546546546546545,0.0,9,0.5692307692307692,0.08519809578658218,0.15338076879087154,0.09729730411370209,0.16187929422312836,0.31398057236863136,1.0490418070508836,25.64304292643491,-8.202700788253459,,,0.020941617558108968,PrdMIG
6,7,5,0.017769589103569787,0.00025025025025025025,0.0,6,0.5441176470588235,0.08397762249512938,0.11242556986240512,0.07442340892668167,0.16133939821908452,0.480958153525833,0.8916923819828202,27.73930178015947,-9.791976791521657,,,0.017835947889902178,PrdMIG
7,8,5,0.022554564464770034,0.0011011011011011012,0.0,8,0.5606060606060607,0.0762527503555859,0.14574762923543047,0.07516730607949779,0.1614840898883492,0.4404548467916207,0.8893760489741102,25.44657501396683,-10.444873558734676,,,0.020105352279879744,PrdMIG
8,9,5,0.01746393413941967,0.0,0.0,6,0.5441176470588235,0.05994444598139534,0.12891663368546194,0.05228080511897682,0.16106507732531758,0.5279430488010687,0.8201942215745733,23.08211366946692,-9.403777191047975,,,0.023890001573909,PrdMIG
9,10,5,0.01761634700520963,0.00025025025025025025,0.0,6,0.5441176470588235,0.06865226715196655,0.12580315607525525,0.05496156384512805,0.16108375885292994,0.4087671215405586,1.0695070932438056,28.0453606337077,-11.990227631142009,,,0.023466684379787224,PrdMIG
10,11,5,0.017515188746320055,0.00030030030030030034,0.0,6,0.5441176470588235,0.08103978856619136,0.12805066140955945,0.07637541321722627,0.16121611437913314,0.4830415110433554,0.8237087317503721,28.374968392622264,-6.735394447524213,,,0.03290404572431724,PrdMIG
11,12,5,0.094888066799858,0.29441941941941935,0.9099099099099099,37,1.0,0.1531454651620863,0.3905765028843804,0.604761522118512,0.1731889063011292,0.2928606134689987,1.0463748866724236,16.321563196674216,-4.455898443286312,,,0.015629215816768148,PrdMIG
12,13,5,0.017626601602222125,0.00030030030030030034,0.0,6,0.5441176470588235,0.06645538756397076,0.12530963901947528,0.06183552517204778,0.16123775427191608,0.1925663911182762,0.05821454238902352,28.484208873642768,-2.20348532755523,,,0.014989718607354343,PrdMIG
13,14,5,0.020393516536686356,0.0027527527527527523,0.0,7,0.5522388059701493,0.07847658488700873,0.11732490855682261,0.08422957908902304,0.16157183054674756,0.41122037404349226,-0.4318362358993585,26.19359722640629,-3.0446806111774034,,,0.021122765601203315,PrdMIG
14,15,5,0.07746372754982837,0.14404404404404403,0.0075075075075075074,30,0.8409090909090909,0.10517851631468765,0.3386256978805623,0.22033588344012797,0.1647358962223461,0.2117963631842748,-0.8642416076859974,28.228378358287888,-0.38965047210880505,,,0.018228817560596283,PrdMIG
15,16,5,0.020157337325067783,0.0009759759759759761,0.0045045045045045045,7,0.5522388059701493,0.09543960258027528,0.1343564910397513,0.12493537427158621,0.16219704492230502,0.3135540192913072,-0.2066062071073972,28.18986318863847,-3.76008135352549,,,0.02028601264402592,PrdMIG
16,17,5,0.017575543193362367,0.0,0.0,6,0.5441176470588235,0.07176463571323954,0.1269227137363251,0.05953060704408199,0.1610317162943954,0.4326075595971339,-0.60179086376686,25.11462059794536,3.596007154486468,,,0.0241985969574163,PrdMIG
17,18,5,0.07215889259552127,0.11946946946946944,0.0,28,0.8043478260869565,0.10373545034539859,0.32473048138825217,0.22717936393275354,0.1642812676619528,0.4455425643370708,0.3026662761806956,28.283595594693647,3.3928478608633057,,,0.022966648828916275,PrdMIG
18,19,5,0.017620033509783896,0.0007507507507507506,0.0,6,0.5441176470588235,0.11005357800669759,0.12369592934334685,0.14071839689000984,0.16154998235138468,0.27597386355862896,0.213331348780353,17.15825936915497,-3.0529602747241325,,,0.0148311000442954,PrdMIG
19,20,5,0.02005168136725778,0.0016766766766766767,0.0,7,0.5522388059701493,0.11381504977987093,0.1342392758301708,0.1780844032933722,0.16192748640769014,0.1374556203623834,0.2987542491388829,18.177428212431657,-6.725572902731863,,,0.016057208661039477,PrdMIG
20,21,5,0.020489261710496212,0.0022522522522522522,0.0,7,0.5522388059701493,0.1241025044150364,0.10429246248214634,0.23845315613296342,0.16263491884041362,0.14481109017903798,1.0043670525298114,18.82632268252456,-4.832632311518888,,,0.013234473514532757,PrdMIG
21,22,5,0.0228656809970142,0.0034034034034034033,0.0,8,0.5606060606060607,0.10684978342588909,0.1261619058303386,0.14126104282532748,0.16178283655490683,0.3959631555640189,-0.8407381691029524,19.05916905721964,-2.4726936862327085,,,0.021114731482746046,PrdMIG
22,23,5,0.020192575471097533,0.0006006006006006007,0.0,7,0.5522388059701493,0.08765164349097707,0.1336616846332671,0.08872953610332543,0.16146161556195285,0.44255357962139613,0.5340354303635312,13.134953255966037,-5.104376956684959,,,0.018228001504426702,PrdMIG
23,24,5,0.01791638656193612,0.0,0.0,6,0.5441176470588235,0.07285517910071333,0.10944765869710338,0.06216823319989664,0.1612273021772643,0.27005303591902163,1.0204303066166465,12.732943156965348,-5.714531435034566,,,0.02050172891115436,PrdMIG
24,25,5,0.022717227571491916,0.0016516516516516518,0.0,8,0.5606060606060607,0.11754218034859283,0.1426502739962709,0.183118740903179,0.16200180908921205,0.2975161120318963,1.0491576710295203,14.32421062685633,-5.185232969252702,,,0.02126311583994938,PrdMIG
25,26,5,0.017551116822927898,0.00030030030030030034,0.0,6,0.5441176470588235,0.1332851282266178,0.1272260010870971,0.3205578562029282,0.1625990935977829,0.27545898996648976,0.8306264330874175,15.781705272257119,-5.369398451030978,,,0.015767909148466378,PrdMIG
26,27,5,0.01791638656193612,0.0,0.0,6,0.5441176470588235,0.07212844020875853,0.10944765869710336,0.05700995432208287,0.16108027131909503,0.4035570024669173,1.3175207430969669,13.600264383161733,-5.637947172686577,,,0.02019583937137458,PrdMIG
27,28,5,0.020561980608902693,0.0027277277277277276,0.0,7,0.5522388059701493,0.07152510253780422,0.11546321145724621,0.05454393410225591,0.16118980082895884,0.34207640055231536,-0.7386322154746149,19.386328175179006,0.3431513227217923,,,0.017549268457979043,PrdMIG
28,29,5,0.017628860626033027,0.0005005005005005005,0.0,6,0.5441176470588235,0.0431635550049495,0.12454514597587345,0.027777322793543304,0.1608080741335901,0.3600765549582615,-0.7134671989631869,18.12289741300473,-0.5563896745208863,,,0.01752492506754701,PrdMIG
29,30,5,0.01816200438744333,0.0006756756756756757,0.0,6,0.5441176470588235,0.07038947670965662,0.10708549128035794,0.05392012648541541,0.16122410851730679,0.2485811194745968,-0.4560830496693923,21.87830654792217,1.8898278837022842,,,0.016667719833059775,PrdMIG
30,31,5,0.017840996874764488,0.0006756756756756757,0.0,6,0.5441176470588235,0.06764043228835075,0.12250639190726216,0.05410456053879903,0.16119353726978897,0.4656142799186854,-0.16571735382893868,21.39444236683569,3.84101491398345,,,0.024096091348148184,PrdMIG
31,32,5,0.01810926153887151,0.001001001001001001,0.0,6,0.5441176470588235,0.07189899113223161,0.10772153018966453,0.057722218681615665,0.1612551394748164,0.3322473273356702,0.1068298279077982,19.324394677947254,3.0472381895162397,,,0.020074533888537315,PrdMIG
32,33,5,0.018049640690683613,0.0022522522522522522,0.0,6,0.5441176470588235,0.061171488414855174,0.10646062185502714,0.04337772197784722,0.16096375368346563,0.3256484149740725,-0.9032233007633058,21.86556699609268,-0.9106018049649314,,,0.016489273302658432,PrdMIG
33,34,5,0.01819338470141289,0.00025025025025025025,0.0,6,0.5441176470588235,0.06357217328819431,0.08890765155049489,0.05462683178786659,0.16132955174774485,0.251511611994732,0.1253749299592411,22.472448056355105,-5.399487795964639,,,0.02342339588590697,PrdMIG
34,35,5,0.027937891838505355,0.01106106106106106,0.0,10,0.578125,0.08691898757322143,0.1376248423987923,0.11808156204697608,0.16208498771827473,0.2469849401760444,-0.3029064909291903,20.92450389184261,-4.741111771031776,,,0.015688777052012066,PrdMIG
35,36,5,0.020063527487635922,0.0015015015015015013,0.0015015015015015015,7,0.5522388059701493,0.10001999285617909,0.1348511888909104,0.1769670079003215,0.16246361902620748,0.3845754998861597,-0.18282087834158425,29.47354984093059,1.8032350154572363,,,0.015417944405191543,PrdMIG
36,37,5,0.020065200716655435,0.00025025025025025025,0.0,7,0.5522388059701493,0.07958593679640794,0.13645002707170423,0.10517693152302625,0.16219573258784115,0.3780257680416926,-0.7791301908721234,25.339184718961267,1.2466100836165468,,,0.022066888505377802,PrdMIG
37,38,5,0.020065200716655435,0.00025025025025025025,0.0015015015015015015,7,0.5522388059701493,0.07466333722005652,0.13645002707170426,0.10472845916564928,0.16223471390094002,0.3590402828038197,-0.9766282211495276,25.12528792667707,-0.4037717195516125,,,0.01587842914555346,PrdMIG
